chembl_id,name,dev_phase,pchembl_median,best_pchembl,n_measurements,potency_suspect,measurement_type,assay_format,variant,score,drug_likeness,qed,ro5_violations,mw,alogp,hbd,hba,tpsa,n_potent_targets,selectivity_flag,similarity,parent_chembl_id,smiles,chembl_url
CHEMBL500659,CHEMBL500659,research/preclinical,10.7,10.7,1,True,IC50,B,,0.8828,0.748,0.58,0,304.35,3.27,1,5,63.3,1,selective,,CHEMBL500659,Cn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2ccncc2)n1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL500659/
CHEMBL5885861,CHEMBL5885861,research/preclinical,10.7,10.7,1,True,IC50,B,,0.866,0.706,0.51,0,495.61,3.38,2,8,113.52,1,selective,,CHEMBL5885861,CCNc1nc(-c2cc(NC(=O)c3cccc(S(C)(=O)=O)c3)ccc2C)cc(N2CCOCC2)n1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5885861/
CHEMBL527029,CHEMBL527029,research/preclinical,10.3,10.3,1,True,IC50,B,,0.8538,0.73,0.55,0,348.41,3.12,2,6,83.53,1,selective,,CHEMBL527029,OCCCn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2ccncc2)n1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL527029/
CHEMBL4776565,CHEMBL4776565,research/preclinical,9.92,9.92,1,False,Ki,B,,0.8523,0.778,0.63,0,409.51,4.6,1,4,63.99,1,selective,,CHEMBL4776565,Cc1cc(F)c(C(=O)NCCCC(C)(C)C)cc1-c1ccc2c(=O)n(C)ncc2c1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4776565/
CHEMBL498344,CHEMBL498344,research/preclinical,10.4,10.4,1,True,IC50,B,,0.8521,0.712,0.52,0,388.47,4.21,2,6,83.53,1,selective,,CHEMBL498344,O/N=C1\CCc2cc(-c3cn([C@@H]4CCC[C@H](O)C4)nc3-c3ccncc3)ccc21,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL498344/
CHEMBL5591799,CHEMBL5591799,research/preclinical,10.18,10.18,1,True,IC50,B,V600E,0.8497,0.736,0.56,0,446.44,3.95,3,5,101.58,1,selective,,CHEMBL5591799,O=C1CCc2c(Oc3ccc4c(c3)[C@H]3[C@H](NC(=O)Nc5ccccc5F)[C@H]3O4)ccnc2N1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5591799/
CHEMBL3236470,CHEMBL3236470,research/preclinical,9.7,9.7,1,False,IC50,B,V600E,0.8427,0.784,0.64,0,432.89,3.4,1,7,114.08,0,selective,,CHEMBL3236470,CCCS(=O)(=O)Nc1ccc(Cl)c(Oc2ccc3ncn(C)c(=O)c3c2)c1C#N,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3236470/
CHEMBL4740241,CHEMBL4740241,research/preclinical,9.99,9.99,1,False,Ki,B,,0.8393,0.736,0.56,0,440.52,4.04,3,6,100.94,3,selective,,CHEMBL4740241,CNc1ncc2cc(-c3cc(NC(=O)NCCC(C)(C)C)c(F)cc3C)c(=O)n(C)c2n1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4740241/
CHEMBL3236463,CHEMBL3236463,research/preclinical,9.7,9.7,1,False,IC50,B,V600E,0.8379,0.772,0.62,0,431.91,3.35,2,7,116.88,0,selective,,CHEMBL3236463,CCCS(=O)(=O)Nc1ccc(Cl)c(Nc2ccc3ncn(C)c(=O)c3c2)c1C#N,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3236463/
CHEMBL5566280,CHEMBL5566280,research/preclinical,9.89,9.89,1,False,Ki,B,V600E,0.8363,0.742,0.57,0,334.38,2.53,2,6,83.53,0,selective,,CHEMBL5566280,OCCn1cc(-c2ccc3c(c2)C/C(=N\O)C3)c(-c2ccncc2)n1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5566280/
