chembl_id,name,dev_phase,pchembl_median,best_pchembl,n_measurements,potency_suspect,measurement_type,assay_format,variant,score,drug_likeness,qed,ro5_violations,mw,alogp,hbd,hba,tpsa,n_potent_targets,selectivity_flag,similarity,parent_chembl_id,smiles,chembl_url
CHEMBL5824452,CHEMBL5824452,research/preclinical,10.0,10.28,2,False,IC50,B,,0.9071,0.904,0.84,0,343.4,2.91,2,2,79.19,0,selective,,CHEMBL5824452,C=CC(=O)N1CCCC(c2c(F)cc(C(N)=O)c3[nH]c(C)c(C)c23)C1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5824452/
CHEMBL6029889,CHEMBL6029889,research/preclinical,10.0,10.0,1,True,IC50,B,,0.9071,0.904,0.84,0,341.39,3.17,2,2,79.19,0,selective,,CHEMBL6029889,C=CC(=O)N1C=C(c2c(F)cc(C(N)=O)c3[nH]c(C)c(C)c23)CCC1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL6029889/
CHEMBL5886785,CHEMBL5886785,research/preclinical,10.03,10.05,2,False,IC50,B,,0.8991,0.88,0.8,0,384.46,2.64,2,3,82.43,0,selective,,CHEMBL5886785,C=CC(=O)N1CCCC2CN(c3c(F)cc(C(N)=O)c4[nH]c(C)c(C)c34)CC21,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5886785/
CHEMBL5741138,CHEMBL5741138,research/preclinical,10.3,10.3,1,True,IC50,B,,0.8898,0.82,0.7,0,396.47,2.52,3,3,91.22,0,selective,,CHEMBL5741138,Cc1[nH]c2c(C(N)=O)cc(F)c(N3CCC[C@H](NC(=O)C#CC4CC4)C3)c2c1C,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5741138/
CHEMBL5993286,CHEMBL5993286,research/preclinical,10.22,10.22,1,True,IC50,B,,0.8879,0.826,0.71,0,384.46,2.52,3,3,91.22,0,selective,,CHEMBL5993286,CCC#CC(=O)N[C@H]1CCCN(c2c(F)cc(C(N)=O)c3[nH]c(C)c(C)c23)C1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5993286/
CHEMBL4237999,CHEMBL4237999,research/preclinical,10.15,10.15,1,True,IC50,B,,0.884,0.826,0.71,0,383.47,3.46,2,3,96.26,0,selective,,CHEMBL4237999,C=CS(=O)(=O)N(C)c1cccc(-c2ccc(C(N)=O)c3[nH]c(C)c(C)c23)c1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4237999/
CHEMBL5836429,CHEMBL5836429,research/preclinical,10.22,10.22,1,True,IC50,B,,0.8831,0.814,0.69,0,398.48,2.91,3,3,91.22,0,selective,,CHEMBL5836429,CCCC#CC(=O)N[C@H]1CCCN(c2c(F)cc(C(N)=O)c3[nH]c(C)c(C)c23)C1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5836429/
CHEMBL5824706,CHEMBL5824706,research/preclinical,10.05,10.05,1,True,IC50,B,,0.881,0.832,0.72,0,370.43,2.13,3,3,91.22,0,selective,,CHEMBL5824706,CC#CC(=O)NC1CCCN(c2c(F)cc(C(N)=O)c3[nH]c(C)c(C)c23)C1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5824706/
CHEMBL4648442,CHEMBL4648442,research/preclinical,10.0,10.15,3,False,IC50,B,,0.8807,0.838,0.73,0,356.4,1.74,3,3,91.22,0,selective,,CHEMBL4648442,C#CC(=O)N[C@H]1CCCN(c2c(F)cc(C(N)=O)c3[nH]c(C)c(C)c23)C1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4648442/
CHEMBL5858594,CHEMBL5858594,research/preclinical,10.06,10.3,3,False,IC50,B,,0.8767,0.82,0.7,0,365.41,3.45,2,2,79.19,0,selective,,CHEMBL5858594,C=CC(=O)N1CCCC(c2c(F)cc(C(N)=O)c3[nH]c4ccccc4c23)C1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5858594/
CHEMBL5757954,CHEMBL5757954,research/preclinical,10.15,10.15,1,True,IC50,B,,0.8744,0.802,0.67,0,392.43,2.78,2,3,82.43,0,selective,,CHEMBL5757954,C=CC(=O)N1CC[C@@H]2CN(c3c(F)cc(C(N)=O)c4[nH]c5ccccc5c34)C[C@@H]21,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5757954/
CHEMBL4246324,CHEMBL4246324,research/preclinical,10.05,10.15,2,False,IC50,B,,0.8738,0.814,0.69,0,397.5,3.77,2,3,96.26,0,selective,,CHEMBL4246324,C=CS(=O)(=O)N(C)c1cccc(-c2ccc(C(N)=O)c3[nH]c(C)c(C)c23)c1C,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4246324/
CHEMBL5942743,CHEMBL5942743,research/preclinical,10.0,10.0,1,True,IC50,B,,0.8735,0.82,0.7,0,363.39,3.36,2,2,79.19,0,selective,,CHEMBL5942743,C=CC(=O)N1CCC=C(c2c(F)cc(C(N)=O)c3[nH]c4ccccc4c23)C1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5942743/
CHEMBL5846574,CHEMBL5846574,research/preclinical,10.04,10.05,2,False,IC50,B,,0.8708,0.808,0.68,0,377.42,3.76,2,2,79.19,0,selective,,CHEMBL5846574,C=CC(=O)N1CCc2ccc(-c3c(F)cc(C(N)=O)c4[nH]c(C)c(C)c34)cc21,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5846574/
CHEMBL4242527,CHEMBL4242527,research/preclinical,10.1,10.1,1,True,IC50,B,,0.8645,0.784,0.64,0,369.45,3.44,3,3,105.05,0,selective,,CHEMBL4242527,C=CS(=O)(=O)Nc1cccc(-c2ccc(C(N)=O)c3[nH]c(C)c(C)c23)c1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4242527/
CHEMBL5965184,CHEMBL5965184,research/preclinical,10.0,10.05,3,False,IC50,B,,0.8639,0.796,0.66,0,406.46,3.17,2,3,82.43,0,selective,,CHEMBL5965184,C=CC(=O)N1CCCC2CN(c3c(F)cc(C(N)=O)c4[nH]c5ccccc5c34)CC21,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5965184/
CHEMBL5846249,CHEMBL5846249,research/preclinical,10.0,10.0,1,True,IC50,B,,0.8639,0.796,0.66,0,406.46,3.17,2,3,82.43,0,selective,,CHEMBL5846249,C=CC(=O)N1CCC[C@@H]2CN(c3c(F)cc(C(N)=O)c4[nH]c5ccccc5c34)C[C@@H]21,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5846249/
CHEMBL5808322,CHEMBL5808322,research/preclinical,10.14,10.14,1,True,IC50,B,,0.8595,0.766,0.61,0,380.42,2.83,3,3,91.22,0,selective,,CHEMBL5808322,C=CC(=O)N[C@H]1CCCN(c2c(F)cc(C(N)=O)c3[nH]c4ccccc4c23)C1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5808322/
CHEMBL6042416,CHEMBL6042416,research/preclinical,10.16,10.17,2,False,IC50,B,,0.8582,0.76,0.6,0,392.43,2.67,3,3,91.22,0,selective,,CHEMBL6042416,CC#CC(=O)N[C@H]1CCCN(c2c(F)cc(C(N)=O)c3[nH]c4ccccc4c23)C1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL6042416/
