chembl_id,name,dev_phase,pchembl_median,best_pchembl,n_measurements,potency_suspect,measurement_type,assay_format,variant,score,drug_likeness,qed,ro5_violations,mw,alogp,hbd,hba,tpsa,n_potent_targets,selectivity_flag,similarity,parent_chembl_id,smiles,chembl_url
CHEMBL5221067,CHEMBL5221067,research/preclinical,9.85,9.85,1,False,IC50,B,,0.8581,0.802,0.67,0,352.42,2.82,3,6,106.49,2,selective,,CHEMBL5221067,N#Cc1c(NC(=O)CNc2n[nH]c3ncccc23)sc2c1CCCC2,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5221067/
CHEMBL941,IMATINIB,approved drug,10.22,10.22,1,True,IC50,B,,0.8111,0.634,0.39,0,493.62,4.59,2,7,86.28,53,promiscuous (>10 targets),,CHEMBL941,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL941/
CHEMBL54091,CHEMBL54091,research/preclinical,8.96,8.96,1,False,IC50,B,,0.8095,0.802,0.67,0,388.2,3.79,2,5,79.8,1,selective,,CHEMBL54091,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Br)c3)ncnc2cn1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL54091/
CHEMBL202360,CHEMBL202360,research/preclinical,8.72,8.72,1,False,IC50,B,,0.8012,0.814,0.69,0,367.21,3.71,2,4,66.91,2,selective,,CHEMBL202360,C#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL202360/
CHEMBL378144,CHEMBL378144,research/preclinical,8.62,8.62,1,False,IC50,B,,0.7958,0.814,0.69,0,368.19,3.1,2,5,79.8,2,selective,,CHEMBL378144,C#CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL378144/
CHEMBL203599,CHEMBL203599,research/preclinical,9.1,9.15,3,False,IC50,B,,0.7908,0.736,0.56,0,467.94,3.14,2,7,86.28,2,selective,,CHEMBL203599,CN1CCN(CCC#CC(=O)Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3cn2)CC1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL203599/
CHEMBL204638,CHEMBL204638,research/preclinical,9.23,9.3,2,False,IC50,F,,0.7883,0.712,0.52,0,499.34,3.33,2,7,92.27,2,selective,,CHEMBL204638,O=C(C#CCCN1CCOCC1)Nc1cc2c(Nc3ccc(F)c(Br)c3)ncnc2cn1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL204638/
CHEMBL3968417,CHEMBL3968417,research/preclinical,8.7,8.7,1,False,IC50,B,,0.7809,0.766,0.61,0,400.85,3.62,2,6,83.04,2,selective,,CHEMBL3968417,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3968417/
CHEMBL203661,CHEMBL203661,research/preclinical,8.7,9.1,2,False,IC50,B,,0.7713,0.742,0.57,0,454.89,3.23,2,7,92.27,2,selective,,CHEMBL203661,O=C(C#CCCN1CCOCC1)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL203661/
CHEMBL205059,CHEMBL205059,research/preclinical,8.69,8.7,2,False,IC50,F,,0.7684,0.736,0.56,0,452.92,4.38,2,6,83.04,2,selective,,CHEMBL205059,O=C(C#CCCN1CCCCC1)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL205059/
CHEMBL2048789,CHEMBL2048789,research/preclinical,8.89,8.89,1,False,IC50,B,,0.7457,0.652,0.42,0,435.87,3.86,3,7,101.3,1,selective,,CHEMBL2048789,O=C1NCc2ccc(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)cc21,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2048789/
CHEMBL5742327,CHEMBL5742327,research/preclinical,8.8,8.8,1,False,IC50,B,,0.7432,0.658,0.43,0,485.95,4.39,2,7,88.61,1,selective,,CHEMBL5742327,COC[C@H]1CCN1C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5742327/
CHEMBL483332,CHEMBL483332,research/preclinical,9.0,9.0,1,False,IC50,B,,0.7421,0.628,0.38,0,464.96,4.72,1,8,85.29,0,selective,,CHEMBL483332,C[C@H](CN(C)C)Oc1cccc2ncnc(Nc3ccc(OCc4cnccn4)c(Cl)c3)c12,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL483332/
CHEMBL2048795,CHEMBL2048795,research/preclinical,8.82,8.82,1,False,IC50,B,,0.7419,0.652,0.42,0,435.87,4.11,3,7,101.3,1,selective,,CHEMBL2048795,O=C1Cc2cccc(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)c2N1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2048795/
CHEMBL2048796,CHEMBL2048796,research/preclinical,8.8,8.8,1,False,IC50,B,,0.7408,0.652,0.42,0,435.87,4.11,3,7,101.3,1,selective,,CHEMBL2048796,O=C1Cc2c(cccc2Oc2ccc(Nc3ncnc4ccn(CCO)c34)cc2Cl)N1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2048796/
CHEMBL6050073,CHEMBL6050073,research/preclinical,8.8,8.8,1,False,IC50,B,,0.7336,0.634,0.39,0,499.97,4.78,2,7,88.61,1,selective,,CHEMBL6050073,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CC[C@@H]1COC,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL6050073/
CHEMBL2048904,CHEMBL2048904,research/preclinical,8.68,8.68,1,False,IC50,B,,0.7319,0.646,0.41,0,434.89,4.5,2,8,90.02,1,selective,,CHEMBL2048904,Cn1ncc2c(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)cccc21,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2048904/
CHEMBL518750,CHEMBL518750,research/preclinical,8.7,8.7,1,False,IC50,B,,0.7281,0.634,0.39,0,463.93,4.64,2,7,112.25,,,,CHEMBL518750,CC(C)(Oc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12)C(N)=O,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL518750/
