chembl_id,name,dev_phase,pchembl_median,best_pchembl,n_measurements,potency_suspect,measurement_type,assay_format,variant,score,drug_likeness,qed,ro5_violations,mw,alogp,hbd,hba,tpsa,n_potent_targets,selectivity_flag,similarity,parent_chembl_id,smiles,chembl_url
CHEMBL5573020,CHEMBL5573020,research/preclinical,9.85,9.85,1,False,Kd,B,G12D,0.8173,0.7,,,1400.14,,,,,1,selective,,CHEMBL5573020,CC[C@H](C)[C@@H]1NC(=O)[C@H](C)N(C)C(=O)C[C@@H](C(=O)N2CCCCC2)N(C)C(=O)[C@H](C2CCCCC2)N(C)C(=O)C2(CCCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CCc2ccc(C(F)(F)F)c(Cl)c2)NC(=O)CN(C)C(=O)[C@H](CC2CCCCC2)N(C)C(=O)CN(C)C(=O)CN(C)C1=O,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5573020/
CHEMBL5562993,CHEMBL5562993,research/preclinical,9.8,9.8,1,False,Kd,B,G12D,0.8145,0.7,,,1414.16,,,,,1,selective,,CHEMBL5562993,CC[C@H](C)[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)C[C@@H](C(=O)N(C)C)N(C)C(=O)[C@H](C2CCCC2)N(C)C(=O)C2(CCCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CCc2ccc(C(F)(F)F)c(Cl)c2)NC(=O)CN(C)C(=O)[C@H](CC2CCCCC2)N(C)C(=O)[C@@H]2CCN2C(=O)[C@H](C)N(C)C1=O,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5562993/
CHEMBL5572821,CHEMBL5572821,research/preclinical,9.77,9.77,1,False,Kd,B,G12D,0.8129,0.7,,,1430.16,,,,,1,selective,,CHEMBL5572821,CC[C@H](C)[C@@H]1NC(=O)[C@H](CCO)N(C)C(=O)C[C@@H](C(=O)N2CCCCC2)N(C)C(=O)[C@H](C2CCCCC2)N(C)C(=O)C2(CCCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CCc2ccc(C(F)(F)F)c(Cl)c2)NC(=O)CN(C)C(=O)[C@H](CC2CCCCC2)N(C)C(=O)CN(C)C(=O)CN(C)C1=O,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5572821/
CHEMBL5570195,CHEMBL5570195,research/preclinical,9.74,9.74,1,False,Kd,B,G12D,0.8113,0.7,,,1456.2,,,,,1,selective,,CHEMBL5570195,CC[C@H](C)[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)C[C@@H](C(=O)N2CCOCC2)N(C)C(=O)[C@H](C2CCCC2)N(C)C(=O)C2(CCCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CCc2ccc(C(F)(F)F)c(Cl)c2)NC(=O)CN(C)C(=O)[C@H](CC2CCCCC2)N(C)C(=O)[C@@H]2CCN2C(=O)[C@H](C)N(C)C1=O,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5570195/
CHEMBL5569602,CHEMBL5569602,research/preclinical,9.72,9.72,1,False,Kd,B,G12D,0.8102,0.7,,,1426.17,,,,,1,selective,,CHEMBL5569602,CC[C@H](C)[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)C[C@@H](C(=O)N2CCC2)N(C)C(=O)[C@H](C2CCCC2)N(C)C(=O)C2(CCCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CCc2ccc(C(F)(F)F)c(Cl)c2)NC(=O)CN(C)C(=O)[C@H](CC2CCCCC2)N(C)C(=O)[C@@H]2CCN2C(=O)[C@H](C)N(C)C1=O,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5569602/
CHEMBL5575367,CHEMBL5575367,research/preclinical,9.64,9.64,1,False,Kd,B,G12D,0.8058,0.7,,,1430.16,,,,,1,selective,,CHEMBL5575367,CC[C@H](C)[C@@H]1NC(=O)[C@H]([C@@H](C)O)N(C)C(=O)C[C@@H](C(=O)N2CCCCC2)N(C)C(=O)[C@H](C2CCCCC2)N(C)C(=O)C2(CCCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CCc2ccc(C(F)(F)F)c(Cl)c2)NC(=O)CN(C)C(=O)[C@H](CC2CCCCC2)N(C)C(=O)CN(C)C(=O)CN(C)C1=O,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5575367/
CHEMBL5576025,CHEMBL5576025,research/preclinical,9.59,9.59,1,False,Kd,B,G12D,0.8031,0.7,,,1444.19,,,,,1,selective,,CHEMBL5576025,CC[C@H](C)[C@@H]1NC(=O)[C@H](CCOC)N(C)C(=O)C[C@@H](C(=O)N2CCCCC2)N(C)C(=O)[C@H](C2CCCCC2)N(C)C(=O)C2(CCCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CCc2ccc(C(F)(F)F)c(Cl)c2)NC(=O)CN(C)C(=O)[C@H](CC2CCCCC2)N(C)C(=O)CN(C)C(=O)CN(C)C1=O,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5576025/
CHEMBL5570375,CHEMBL5570375,research/preclinical,9.49,9.49,1,False,Kd,B,G12D,0.7976,0.7,,,1442.22,,,,,1,selective,,CHEMBL5570375,CC[C@H](C)[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)C[C@@H](C(=O)N2CCCCC2)N(C)C(=O)[C@H](C2CCCCC2)N(C)C(=O)C2(CCCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CCc2ccc(C(F)(F)F)c(Cl)c2)NC(=O)CN(C)C(=O)[C@H](CC2CCCCC2)N(C)C(=O)CN(C)C(=O)CN(C)C1=O,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5570375/
CHEMBL5612889,CHEMBL5612889,research/preclinical,9.43,9.43,1,False,IC50,B,G12V,0.7944,0.7,,,671.64,,,,,0,selective,,CHEMBL5612889,C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N(C)[C@H]5C[C@@H]5F)nc(OCC56CCCN5CC(=C)C6)nc4c3F)c12,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5612889/
CHEMBL5565237,CHEMBL5565237,research/preclinical,9.33,9.33,1,False,Kd,B,G12D,0.7889,0.7,,,1454.23,,,,,1,selective,,CHEMBL5565237,CC[C@H](C)[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)C[C@@H](C(=O)N2CCCCC2)N(C)C(=O)[C@H](C2CCCC2)N(C)C(=O)C2(CCCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CCc2ccc(C(F)(F)F)c(Cl)c2)NC(=O)CN(C)C(=O)[C@H](CC2CCCCC2)N(C)C(=O)[C@@H]2CCN2C(=O)[C@H](C)N(C)C1=O,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5565237/
CHEMBL5572706,CHEMBL5572706,research/preclinical,9.19,9.19,1,False,Kd,B,G12D,0.7813,0.7,,,1440.2,,,,,1,selective,,CHEMBL5572706,CC[C@H](C)[C@@H]1NC(=O)C2(CCCC2)N(C)C(=O)C[C@@H](C(=O)N2CCCCC2)N(C)C(=O)[C@H](C2CCCCC2)N(C)C(=O)C2(CCCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CCc2ccc(C(F)(F)F)c(Cl)c2)NC(=O)CN(C)C(=O)[C@H](CC2CCCCC2)N(C)C(=O)CN(C)C(=O)CN(C)C1=O,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5572706/
CHEMBL5591865,CHEMBL5591865,research/preclinical,9.12,9.12,1,False,Kd,B,G12D,0.7775,0.7,,,1428.19,,,,,1,selective,,CHEMBL5591865,CCC[C@H]1C(=O)N[C@@H]([C@@H](C)CC)C(=O)N(C)CC(=O)N(C)CC(=O)N(C)[C@@H](CC2CCCCC2)C(=O)N(C)CC(=O)N[C@@H](CCc2ccc(C(F)(F)F)c(Cl)c2)C(=O)N2CCC[C@H]2C(=O)NC2(CCCC2)C(=O)N(C)[C@@H](C2CCCCC2)C(=O)N(C)[C@H](C(=O)N2CCCCC2)CC(=O)N1C,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5591865/
CHEMBL5172805,CHEMBL5172805,research/preclinical,9.0,9.0,1,False,IC50,B,G12D,0.7709,0.7,,,2072.5,,,,,0,selective,,CHEMBL5172805,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(-c3ccccc3)cc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2[C@@H](c3ccccc3)CCN2C(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)CSSC[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC1=O,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5172805/
CHEMBL5205422,CHEMBL5205422,research/preclinical,9.0,9.0,1,False,IC50,B,G12D,0.7709,0.7,,,1939.31,,,,,0,selective,,CHEMBL5205422,C=CCO[C@H]1CCN2C(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)CSSC[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]3CCCN3C(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc3ccc(-c4ccccc4)cc3)NC(=O)[C@H]12,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5205422/
CHEMBL5569112,CHEMBL5569112,research/preclinical,8.96,8.96,1,False,Kd,B,G12D,0.7687,0.7,,,1456.24,,,,,1,selective,,CHEMBL5569112,CC[C@H](C)[C@@H]1NC(=O)[C@H](CC(C)C)N(CC)C(=O)C[C@@H](C(=O)N2CCCCC2)N(C)C(=O)[C@H](C2CCCCC2)N(C)C(=O)C2(CCCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CCc2ccc(C(F)(F)F)c(Cl)c2)NC(=O)CN(C)C(=O)[C@H](CC2CCCCC2)N(C)C(=O)CN(C)C(=O)CN(C)C1=O,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5569112/
CHEMBL5873176,CHEMBL5873176,research/preclinical,8.82,8.82,1,False,IC50,B,,0.7091,0.57,0.51,1,518.64,4.05,2,8,86.64,0,selective,,CHEMBL5873176,CCc1ccc(O)cc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc2c1F,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5873176/
CHEMBL5930957,CHEMBL5930957,research/preclinical,8.8,8.8,1,False,IC50,B,,0.6984,0.546,0.47,1,528.63,3.66,2,8,86.64,0,selective,,CHEMBL5930957,C#CCc1ccc(O)cc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc2c1F,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5930957/
CHEMBL5868853,CHEMBL5868853,research/preclinical,8.72,8.72,1,False,IC50,B,,0.6964,0.552,0.48,1,532.66,4.61,2,8,86.64,0,selective,,CHEMBL5868853,CC(C)c1ccc(O)cc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc2c1F,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5868853/
CHEMBL4849611,CHEMBL4849611,research/preclinical,9.15,9.15,1,False,IC50,B,G12D,0.6935,0.486,0.37,1,640.57,4.16,2,8,76.99,1,selective,,CHEMBL4849611,CN(C)CC1(COc2nc3c(c(N4CC5CCC(C4)N5)n2)CCN(c2cc(O)cc4cccc(I)c24)C3)CC1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4849611/
CHEMBL4632935,CHEMBL4632935,research/preclinical,9.0,9.0,1,False,IC50,B,G12C,0.6925,0.504,0.4,1,565.72,4.09,0,8,88.83,0,selective,,CHEMBL4632935,C=CC(=O)N1CCN(c2nc(OC[C@@H]3CCCN3C)nc3c2CCN(c2cccc4cccc(C)c24)C3)C[C@@H]1CC#N,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4632935/
