chembl_id,name,dev_phase,pchembl_median,best_pchembl,n_measurements,potency_suspect,measurement_type,assay_format,variant,score,drug_likeness,qed,ro5_violations,mw,alogp,hbd,hba,tpsa,n_potent_targets,selectivity_flag,similarity,parent_chembl_id,smiles,chembl_url
CHEMBL5198796,CHEMBL5198796,research/preclinical,10.37,10.37,1,True,Ki,B,,0.9224,0.892,0.82,0,415.43,1.69,1,7,102.92,0,selective,,CHEMBL5198796,NC(=O)[C@@H]1CCCN1c1ccc2c(c1)OCCn1cc(N3C(=O)OC[C@H]3CF)nc1-2,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5198796/
CHEMBL5199631,CHEMBL5199631,research/preclinical,10.38,10.38,1,True,Ki,B,,0.9206,0.886,0.81,0,425.49,2.38,1,7,102.92,0,selective,,CHEMBL5199631,CC(C)[C@@H]1COC(=O)N1c1cn2c(n1)-c1ccc(N3CCC[C@H]3C(N)=O)cc1OCC2,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5199631/
CHEMBL5916599,CHEMBL5916599,research/preclinical,10.4,10.4,1,True,Ki,B,,0.9193,0.88,0.8,0,389.39,1.52,2,7,111.71,4,selective,,CHEMBL5916599,C[C@H](Nc1ccc2c(c1)OCCn1cc(N3C(=O)OC[C@H]3CF)nc1-2)C(N)=O,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5916599/
CHEMBL3770993,CHEMBL3770993,research/preclinical,10.66,10.8,2,False,Ki,B,,0.9119,0.826,0.71,0,407.48,2.24,1,8,104.09,2,selective,,CHEMBL3770993,CC(C)n1ncnc1-c1cn2c(n1)-c1ccc(N3CCC[C@H]3C(N)=O)cc1OCC2,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3770993/
CHEMBL5209168,CHEMBL5209168,research/preclinical,10.28,10.28,1,True,Ki,B,,0.9103,0.874,0.79,0,433.42,1.99,1,7,102.92,0,selective,,CHEMBL5209168,NC(=O)[C@@H]1CCCN1c1ccc2c(c1)OCCn1cc(N3C(=O)OC[C@H]3C(F)F)nc1-2,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5209168/
CHEMBL5789652,CHEMBL5789652,research/preclinical,10.32,10.32,1,True,Ki,B,,0.9005,0.844,0.74,0,421.4,2.21,2,7,111.71,4,selective,,CHEMBL5789652,CC[C@H](Nc1ccc2c(c1)OCCn1cc(N3C(=O)OC[C@H]3C(F)F)nc1-2)C(N)=O,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5789652/
CHEMBL6019298,CHEMBL6019298,research/preclinical,10.64,10.64,1,True,Ki,B,,0.8964,0.79,0.65,0,421.38,2.05,2,8,112.88,2,selective,,CHEMBL6019298,C[C@H](Nc1ccc2c(c1)OCCn1cc(-c3ncnn3CC(F)(F)F)nc1-2)C(N)=O,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL6019298/
CHEMBL5208487,CHEMBL5208487,research/preclinical,10.59,10.59,1,True,Ki,B,,0.896,0.796,0.66,0,422.49,1.82,2,9,130.11,0,selective,,CHEMBL5208487,CC(C)n1nc(N)nc1-c1cn2c(n1)-c1ccc(N3CCC[C@H]3C(N)=O)cc1OCC2,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5208487/
CHEMBL3770306,CHEMBL3770306,research/preclinical,10.0,10.0,1,True,Ki,B,,0.8807,0.838,0.73,0,393.45,1.85,1,8,104.09,0,selective,,CHEMBL3770306,CC(C)n1ncnc1-c1cn2c(n1)-c1ccc(N3CC[C@H]3C(N)=O)cc1OCC2,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3770306/
CHEMBL5181348,CHEMBL5181348,research/preclinical,10.01,10.01,1,True,Ki,B,,0.8764,0.826,0.71,0,481.43,1.91,1,8,112.15,0,selective,,CHEMBL5181348,CO[C@@H]1CCN(c2ccc3c(c2)OCCn2cc(N4C(=O)OC[C@H]4C(F)(F)F)nc2-3)[C@@H]1C(N)=O,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5181348/
