chembl_id,name,dev_phase,pchembl_median,best_pchembl,n_measurements,potency_suspect,measurement_type,assay_format,variant,score,drug_likeness,qed,ro5_violations,mw,alogp,hbd,hba,tpsa,n_potent_targets,selectivity_flag,similarity,parent_chembl_id,smiles,chembl_url
CHEMBL176582,CHEMBL176582,research/preclinical,11.0,11.0,1,True,IC50,B,,0.9016,0.754,0.59,0,354.21,4.02,1,5,55.63,0,selective,,CHEMBL176582,Cn1cnc2cc3ncnc(Nc4cccc(Br)c4)c3cc21,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL176582/
CHEMBL53428,CHEMBL53428,research/preclinical,10.04,10.04,1,True,IC50,B,,0.8972,0.874,0.79,0,344.22,3.6,1,5,53.94,0,selective,,CHEMBL53428,CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL53428/
CHEMBL5790648,CHEMBL5790648,research/preclinical,10.54,10.8,2,False,IC50,B,,0.8933,0.796,0.66,0,443.87,3.82,1,7,79.82,0,selective,,CHEMBL5790648,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1CC2(CN(C)C2)OC1=O,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5790648/
CHEMBL6170958,CHEMBL6170958,research/preclinical,9.92,9.92,1,False,IC50,B,,0.8859,0.862,0.77,0,340.81,4.54,0,3,41.9,1,selective,,CHEMBL6170958,CCOc1ccc(/C=C2/C(=O)N(c3ccc(Cl)cc3)N=C2C)cc1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL6170958/
CHEMBL54400,CHEMBL54400,research/preclinical,9.89,9.89,1,False,IC50,B,,0.8843,0.862,0.77,0,330.19,3.57,2,5,62.73,0,selective,,CHEMBL54400,CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL54400/
CHEMBL29197,CHEMBL29197,research/preclinical,9.91,10.6,6,False,IC50,B,,0.8829,0.856,0.76,0,360.21,4.15,1,5,56.27,4,selective,,CHEMBL29197,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL29197/
CHEMBL5746224,CHEMBL5746224,research/preclinical,10.42,10.77,2,False,IC50,B,,0.882,0.784,0.64,0,441.89,4.59,1,6,70.59,0,selective,,CHEMBL5746224,CN1CCC2(CC1)CN(c1ccc3ncnc(Nc4cccc(Cl)c4F)c3c1)C(=O)O2,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5746224/
CHEMBL51853,CHEMBL51853,research/preclinical,9.89,9.89,1,False,IC50,B,,0.8819,0.856,0.76,0,316.16,3.11,2,5,76.72,0,selective,,CHEMBL51853,Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL51853/
CHEMBL174426,CHEMBL174426,research/preclinical,10.6,10.6,1,True,IC50,B,,0.8798,0.754,0.59,0,354.21,4.02,1,5,55.63,0,selective,,CHEMBL174426,Cn1cnc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL174426/
CHEMBL420624,CHEMBL420624,research/preclinical,10.0,10.0,1,True,IC50,B,,0.8759,0.826,0.71,0,315.17,3.72,2,4,63.83,0,selective,,CHEMBL420624,Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL420624/
CHEMBL5968640,CHEMBL5968640,research/preclinical,10.41,10.66,2,False,IC50,B,,0.8742,0.766,0.61,0,457.89,4.21,1,7,79.82,0,selective,,CHEMBL5968640,CCN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4F)ncnc3cc1OC)C(=O)O2,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5968640/
CHEMBL5192793,CHEMBL5192793,research/preclinical,9.82,9.82,1,False,IC50,B,,0.8708,0.838,0.73,0,308.33,3.99,0,4,48.67,0,selective,,CHEMBL5192793,COc1ccc(-c2cc(=O)cc(-c3ccc(OC)cc3)o2)cc1,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5192793/
